,CURRENT_PRICE,PREDICTED_PRICE
2025-04-25 20:00:30,,284.77264
2025-04-25 20:01:30,,284.80615
2025-04-25 20:02:30,,284.82062
2025-04-25 20:03:30,,284.82388
2025-04-25 20:04:30,,284.8188
2025-04-25 20:05:30,,284.80902
2025-04-25 20:06:30,,284.79443
2025-04-25 20:07:30,,284.77628
2025-04-25 20:08:30,,284.7559
2025-04-25 20:09:30,,284.73288
2025-04-25 20:10:30,,284.70724
2025-04-25 20:11:30,,284.6801
2025-04-25 20:12:30,,284.65128
2025-04-25 20:13:30,,284.62103
2025-04-25 20:14:30,,284.58914
2025-04-25 20:15:30,,284.55655
2025-04-25 20:16:30,,284.52286
2025-04-25 20:17:30,,284.48865
2025-04-25 20:18:30,,284.4536
2025-04-25 20:19:30,,284.41852
2025-04-25 20:20:30,,284.38245
2025-04-25 20:21:30,,284.34692
2025-04-25 20:22:30,,284.3108
2025-04-25 20:23:30,,284.27496
2025-04-25 20:24:30,,284.23895
2025-04-25 20:25:30,,284.20358
2025-04-25 20:26:30,,284.1697
2025-04-25 20:27:30,,284.13574
2025-04-25 20:28:30,,284.10236
2025-04-25 20:29:30,,284.06964
2025-04-25 20:30:30,,284.03757
2025-04-25 20:31:30,,284.00653
2025-04-25 20:32:30,,283.97626
2025-04-25 20:33:30,,283.94763
2025-04-25 20:34:30,,283.92
2025-04-25 20:35:30,,283.8932
2025-04-25 20:36:30,,283.86768
2025-04-25 20:37:30,,283.84387
2025-04-25 20:38:30,,283.82123
2025-04-25 20:39:30,,283.80048
2025-04-25 20:40:30,,283.78064
2025-04-25 20:41:30,,283.76157
2025-04-25 20:42:30,,283.74405
2025-04-25 20:43:30,,283.72787
2025-04-25 20:44:30,,283.71313
2025-04-25 20:45:30,,283.7
2025-04-25 20:46:30,,283.68753
2025-04-25 20:47:30,,283.67657
2025-04-25 20:48:30,,283.6671
2025-04-25 20:49:30,,283.6587
2025-04-25 20:50:30,,283.6508
2025-04-25 20:51:30,,283.6447
2025-04-25 20:52:30,,283.64032
2025-04-25 20:53:30,,283.636
2025-04-25 20:54:30,,283.63312
2025-04-25 20:55:30,,283.63177
2025-04-25 20:56:30,,283.63095
2025-04-25 20:57:30,,283.6305
2025-04-25 20:58:30,,283.6315
2025-04-25 20:59:30,,283.63318
2025-04-25 21:00:30,,283.63544
2025-04-25 21:01:30,,283.63876
2025-04-25 21:02:30,,283.6428
2025-04-25 21:03:30,,283.64746
2025-04-25 21:04:30,,283.65277
2025-04-25 21:05:30,,283.65863
2025-04-25 21:06:30,,283.66498
2025-04-25 21:07:30,,283.67184
2025-04-25 21:08:30,,283.67914
2025-04-25 21:09:30,,283.68683
2025-04-25 21:10:30,,283.69482
2025-04-25 21:11:30,,283.7032
2025-04-25 21:12:30,,283.7118
2025-04-25 21:13:30,,283.7206
2025-04-25 21:14:30,,283.72964
2025-04-25 21:15:30,,283.73883
2025-04-25 21:16:30,,283.7481
2025-04-25 21:17:30,,283.7575
2025-04-25 21:18:30,,283.76694
2025-04-25 21:19:30,,283.77637
2025-04-25 21:20:30,,283.78583
2025-04-25 21:21:30,,283.79523
2025-04-25 21:22:30,,283.80457
2025-04-25 21:23:30,,283.8138
2025-04-25 21:24:30,,283.82297
2025-04-25 21:25:30,,283.83194
2025-04-25 21:26:30,,283.8408
2025-04-25 21:27:30,,283.84946
2025-04-25 21:28:30,,283.85794
2025-04-25 21:29:30,,283.86618
2025-04-25 21:30:30,,283.8742
2025-04-25 21:31:30,,283.882
2025-04-25 21:32:30,,283.88953
2025-04-25 21:33:30,,283.8968
2025-04-25 21:34:30,,283.90375
2025-04-25 21:35:30,,283.91043
2025-04-25 21:36:30,,283.91687
2025-04-25 21:37:30,,283.92297
2025-04-25 21:38:30,,283.92874
2025-04-25 21:39:30,,283.93423
2025-04-25 21:40:30,,283.93942
2025-04-25 21:41:30,,283.9443
2025-04-25 21:42:30,,283.94882
2025-04-25 21:43:30,,283.95306
2025-04-25 21:44:30,,283.957
2025-04-25 21:45:30,,283.9606
2025-04-25 21:46:30,,283.96393
2025-04-25 21:47:30,,283.9669
2025-04-25 21:48:30,,283.96957
2025-04-25 21:49:30,,283.972
2025-04-25 21:50:30,,283.9741
2025-04-25 21:51:30,,283.97595
2025-04-25 21:52:30,,283.97748
2025-04-25 21:53:30,,283.97876
2025-04-25 21:54:30,,283.97977
2025-04-25 21:55:30,,283.98053
2025-04-25 21:56:30,,283.98105
2025-04-25 21:57:30,,283.98135
2025-04-25 21:58:30,,283.98138
2025-04-25 21:59:30,,283.98123
2025-04-25 22:00:30,,283.98087
2025-04-25 22:01:30,,283.98032
2025-04-25 22:02:30,,283.97958
2025-04-25 22:03:30,,283.97864
2025-04-25 22:04:30,,283.97757
2025-04-25 22:05:30,,283.97632
2025-04-25 22:06:30,,283.97495
2025-04-25 22:07:30,,283.97345
2025-04-25 22:08:30,,283.9718
2025-04-25 22:09:30,,283.97006
2025-04-25 22:10:30,,283.9682
2025-04-25 22:11:30,,283.96628
2025-04-25 22:12:30,,283.96426
2025-04-25 22:13:30,,283.9622
2025-04-25 22:14:30,,283.96002
2025-04-25 22:15:30,,283.95782
2025-04-25 22:16:30,,283.9556
2025-04-25 22:17:30,,283.9533
2025-04-25 22:18:30,,283.951
2025-04-25 22:19:30,,283.9487
2025-04-25 22:20:30,,283.94635
2025-04-25 22:21:30,,283.94403
2025-04-25 22:22:30,,283.9417
2025-04-25 22:23:30,,283.93942
2025-04-25 22:24:30,,283.9371
2025-04-25 22:25:30,,283.93484
2025-04-25 22:26:30,,283.93265
2025-04-25 22:27:30,,283.93045
2025-04-25 22:28:30,,283.9283
2025-04-25 22:29:30,,283.9262
2025-04-25 22:30:30,,283.92416
2025-04-25 22:31:30,,283.92215
